StateID,Year,Yieldkgha,hareaMha,NUE_corn
1,2010,7218.55,0.1,0.397046632
1,2011,7155.78,0.1,0.414975246
1,2012,6151.46,0.118,0.360392428
1,2013,9227.19,0.118,0.539405969
1,2014,9980.43,0.114,0.553431127
1,2015,9227.19,0.098,0.515327401
10,2010,7155.78,0.0692,0.426640203
10,2011,8160.1,0.0728,0.526943088
10,2012,8473.95,0.0712,0.548441877
10,2013,10419.82,0.0696,0.62811541
10,2014,12554,0.0672,0.754876441
10,2015,12051.84,0.0656,0.692780117
12,2010,6841.93,0.01,0.38996877
12,2011,6528.08,0.0132,0.424633313
12,2012,7218.55,0.016,0.496001802
12,2013,8348.41,0.0312,0.570646434
12,2014,8473.95,0.016,0.489647094
12,2015,8850.57,0.02,0.528808387
13,2010,9164.42,0.098,0.455619336
13,2011,9980.43,0.108,0.501091252
13,2012,11298.6,0.124,0.505914526
13,2013,10984.75,0.186,0.495563304
13,2014,10670.9,0.124,0.522883618
13,2015,10733.67,0.114,0.502224922
16,2010,11926.3,0.044,0.776608727
16,2011,11863.53,0.048,0.558972432
16,2012,12240.15,0.054,0.704180222
16,2013,11361.37,0.046,0.71762256
16,2014,12554,0.032,0.845139784
16,2015,12993.39,0.028,0.856653178
17,2010,9854.89,4.96,0.5396233
17,2011,9854.89,4.94,0.49863205
17,2012,6590.85,4.9,0.339777149
17,2013,11173.06,4.72,0.600355678
17,2014,12554,4.7,0.679397073
17,2015,10984.75,4.6,0.580605464
18,2010,9854.89,2.288,0.480662953
18,2011,9164.42,2.3,0.424465152
18,2012,6214.23,2.412,0.305170716
18,2013,11110.29,2.332,0.588955803
18,2014,11800.76,2.308,0.651878938
18,2015,9415.5,2.192,0.504201484
19,2010,10357.05,5.22,0.626312978
19,2011,10796.44,5.48,0.621816987
19,2012,8599.49,5.48,0.499412289
19,2013,10294.28,5.22,0.616505463
19,2014,11173.06,5.32,0.685839953
19,2015,12051.84,5.22,0.721310286
20,2010,7783.48,1.86,0.506509453
20,2011,6716.39,1.68,0.413703686
20,2012,5963.15,1.58,0.375856642
20,2013,7909.02,1.6,0.513257318
20,2014,9352.73,1.52,0.588644544
20,2015,9289.96,1.568,0.580513267
21,2010,7783.48,0.492,0.414129449
21,2011,8725.03,0.52,0.437454963
21,2012,4268.36,0.612,0.218367523
21,2013,10670.9,0.572,0.586129758
21,2014,9917.66,0.572,0.566264432
21,2015,10796.44,0.524,0.622675318
22,2010,8787.8,0.2,0.563879392
22,2011,8473.95,0.228,0.505803161
22,2012,10859.21,0.212,0.728492968
22,2013,10859.21,0.268,0.676825588
22,2014,11486.91,0.156,0.69292633
22,2015,10733.67,0.156,0.629726044
24,2010,6653.62,0.172,0.457525563
24,2011,6841.93,0.168,0.367111992
24,2012,7657.94,0.174,0.487512056
24,2013,9917.66,0.168,0.620821111
24,2014,10984.75,0.172,0.747913721
24,2015,10294.28,0.152,0.700424647
26,2010,9352.73,0.84,0.617980598
26,2011,9603.81,0.876,0.587877334
26,2012,8285.64,0.952,0.50936375
26,2013,9729.35,0.892,0.593334497
26,2014,10105.97,0.884,0.621737473
26,2015,10168.74,0.828,0.622375777
27,2010,11110.29,2.92,0.776704226
27,2011,9729.35,3.08,0.629414858
27,2012,10357.05,3.332,0.667887182
27,2013,9980.43,3.256,0.613406646
27,2014,9792.12,3.02,0.592284067
27,2015,11800.76,3.04,0.708983941
28,2010,8536.72,0.268,0.535753163
28,2011,8034.56,0.292,0.5350942
28,2012,10357.05,0.318,0.703229828
28,2013,11047.52,0.332,0.735778349
28,2014,11612.45,0.194,0.726189617
28,2015,10984.75,0.196,0.669658353
29,2010,7720.71,1.2,0.494903515
29,2011,7155.78,1.22,0.41892062
29,2012,4707.75,1.32,0.264763288
29,2013,8536.72,1.28,0.459736145
29,2014,11675.22,1.352,0.594657554
29,2015,8913.34,1.232,0.443462729
30,2010,8473.95,0.0136,0.656439987
30,2011,7971.79,0.0144,0.450110097
30,2012,6528.08,0.024,0.457206597
30,2013,7218.55,0.03,0.528299782
30,2014,6277,0.03,0.48353189
30,2015,6904.7,0.02,0.534056621
31,2010,10419.82,3.54,0.650390547
31,2011,10043.2,3.84,0.587502382
31,2012,8913.34,3.64,0.519645958
31,2013,10608.13,3.82,0.636602463
31,2014,11235.83,3.58,0.669412441
31,2015,11612.45,3.66,0.684631151
34,2010,7155.78,0.0284,0.426518872
34,2011,7720.71,0.0324,0.597688488
34,2012,7406.86,0.0344,0.468296069
34,2013,8725.03,0.032,0.526905921
34,2014,9854.89,0.0316,0.592353479
34,2015,9227.19,0.0288,0.537226038
35,2010,11298.6,0.0264,0.697371098
35,2011,11298.6,0.018,0.543806373
35,2012,10670.9,0.0172,0.770009755
35,2013,11926.3,0.0152,0.749521928
35,2014,12240.15,0.0192,0.758687124
35,2015,11298.6,0.016,0.693094379
36,2010,9352.73,0.236,1.24688934
36,2011,8348.41,0.248,1.107891031
36,2012,8411.18,0.272,1.181310153
36,2013,8599.49,0.276,1.165820713
36,2014,9289.96,0.272,1.197344052
36,2015,8976.11,0.236,1.125376264
37,2010,5712.07,0.336,0.297477027
37,2011,5272.68,0.326,0.268485645
37,2012,7344.09,0.328,0.366164167
37,2013,8913.34,0.344,0.44127781
37,2014,8285.64,0.312,0.425648036
37,2015,7093.01,0.292,0.344447759
38,2010,8285.64,0.752,0.479275429
38,2011,6590.85,0.824,0.361493765
38,2012,7657.94,1.384,0.455280641
38,2013,6904.7,1.44,0.341524404
38,2014,7783.48,1.012,0.449673318
38,2015,8034.56,1.024,0.4577036
39,2010,10043.2,1.308,0.567550196
39,2011,9603.81,1.28,0.523097679
39,2012,7532.4,1.46,0.407981251
39,2013,10921.98,1.492,0.593540656
39,2014,11047.52,1.388,0.587929372
39,2015,9603.81,1.304,0.509451711
4,2010,13181.7,0.0088,0.582279454
4,2011,11173.06,0.014,0.51356343
4,2012,12240.15,0.0128,0.291005605
4,2013,11110.29,0.0204,0.657721319
4,2014,13181.7,0.0112,0.742473686
4,2015,13181.7,0.0144,0.83396607
40,2010,8034.56,0.136,0.485829109
40,2011,5774.84,0.076,0.354466288
40,2012,6904.7,0.118,0.455881963
40,2013,9101.65,0.124,0.595985821
40,2014,9227.19,0.116,0.507590843
40,2015,8097.33,0.112,0.488843269
41,2010,12554,0.0152,0.946303995
41,2011,13495.55,0.0204,0.963355555
41,2012,12867.85,0.0208,0.962698345
41,2013,11800.76,0.0144,0.898411762
41,2014,11926.3,0.0156,0.886886605
41,2015,11800.76,0.012,0.87032417
42,2010,8034.56,0.364,0.632634076
42,2011,6967.47,0.384,0.519131327
42,2012,8222.87,0.4,0.608150156
42,2013,9164.42,0.436,0.679872883
42,2014,9666.58,0.412,0.702811797
42,2015,9227.19,0.376,0.659878405
45,2010,5272.68,0.134,0.33675178
45,2011,4080.05,0.132,0.272638502
45,2012,7657.94,0.124,0.53509713
45,2013,8097.33,0.134,0.540840294
45,2014,7344.09,0.112,0.453031556
45,2015,5837.61,0.104,0.35240187
46,2010,8473.95,1.688,0.549071553
46,2011,8285.64,1.98,0.529635751
46,2012,6339.77,2.12,0.419942875
46,2013,8599.49,2.344,0.605374384
46,2014,9289.96,2.128,0.657021258
46,2015,9980.43,2.012,0.675119704
47,2010,7344.09,0.256,0.442533206
47,2011,8222.87,0.294,0.566974411
47,2012,5335.45,0.384,0.297473145
47,2013,9792.12,0.324,0.57166689
47,2014,10545.36,0.336,0.634201734
47,2015,10043.2,0.292,0.607649104
48,2010,9038.88,0.832,0.652271422
48,2011,5712.07,0.588,0.382628786
48,2012,8097.33,0.62,0.52357033
48,2013,8536.72,0.78,0.557131817
48,2014,9289.96,0.796,0.619235407
48,2015,8473.95,0.788,0.538599002
49,2010,11173.06,0.0092,0.828131979
49,2011,10294.28,0.012,0.532970006
49,2012,10482.59,0.0136,0.574848804
49,2013,10670.9,0.0124,0.700185661
49,2014,10043.2,0.0112,0.736306308
49,2015,10859.21,0.0068,0.798836489
5,2010,9415.5,0.152,0.460762599
5,2011,8850.57,0.208,0.581229277
5,2012,11173.06,0.278,0.599851609
5,2013,11675.22,0.348,0.662306653
5,2014,11737.99,0.212,0.630606765
5,2015,11361.37,0.178,0.598981112
51,2010,4205.59,0.124,0.277182335
51,2011,7406.86,0.136,0.521547815
51,2012,6465.31,0.14,0.422413734
51,2013,9666.58,0.144,0.619217938
51,2014,9101.65,0.14,0.549589789
51,2015,10105.97,0.12,0.62843912
53,2010,12867.85,0.05,0.901099997
53,2011,14123.25,0.05,0.939638725
53,2012,13495.55,0.046,0.788424278
53,2013,13495.55,0.042,0.856188748
53,2014,13495.55,0.044,0.901584076
53,2015,13495.55,0.03,0.879150036
54,2010,5649.3,0.0116,0.453208998
54,2011,7155.78,0.0124,0.703765871
54,2012,8034.56,0.014,0.814383243
54,2013,9227.19,0.0144,0.717485053
54,2014,9352.73,0.0144,0.667933524
54,2015,9289.96,0.014,0.577738377
55,2010,10168.74,1.24,0.908429522
55,2011,9729.35,1.328,0.803411551
55,2012,7532.4,1.32,0.604442831
55,2013,9101.65,1.212,0.708713126
55,2014,9792.12,1.244,0.776871306
55,2015,10294.28,1.2,0.788035239
56,2010,7720.71,0.02,0.582847206
56,2011,8160.1,0.028,0.478324158
56,2012,8913.34,0.024,0.514310905
56,2013,7971.79,0.0268,0.498973485
56,2014,8662.26,0.024,0.646401606
56,2015,9980.43,0.0236,0.741766672
6,2010,12051.84,0.072,0.467038516
6,2011,11361.37,0.06,0.621551748
6,2012,11298.6,0.072,0.553300968
6,2013,11989.07,0.072,0.655674147
6,2014,10357.05,0.038,0.654347703
6,2015,9854.89,0.024,0.608951131
8,2010,9478.27,0.484,0.728723173
8,2011,8348.41,0.52,0.543330801
8,2012,8348.41,0.404,0.6284843
8,2013,8222.87,0.392,0.59325845
8,2014,9164.42,0.404,0.691380178
8,2015,8913.34,0.38,0.667792288